,Title,IMDB Rating,IMDB Rank,Year,Classification,Genre
159,Some Like It Hot,8.2,160,1959,,Comedy
160,Smultronstället,8.2,161,1957,,Drama
161,Det sjunde inseglet,8.2,162,1957,,Drama
162,Du rififi chez les hommes,8.2,163,1955,,Thriller
163,Dial M for Murder,8.2,164,1954,,Thriller
164,Tôkyô monogatari,8.2,165,1953,,Drama
165,Rashômon,8.2,166,1950,,Drama
166,All About Eve,8.2,167,1950,,Drama
167,The Treasure of the Sierra Madre,8.2,168,1948,,Drama
168,To Be or Not to Be,8.2,169,1942,,Comedy
169,The Gold Rush,8.2,170,1925,,Comedy
170,Sherlock Jr.,8.2,171,1924,,Action
171,Portrait de la jeune fille en feu,8.1,172,2019,Adult,Drama
172,Contratiempo,8.1,173,2016,,Mystery
173,Ah-ga-ssi,8.1,174,2016,,Drama
174,Logan,8.1,175,2017,Adult,Action
175,Room,8.1,176,0,Adult,Drama
176,Relatos salvajes,8.1,177,2014,Adult,Comedy
177,PK,8.1,178,2014,,Comedy
178,The Grand Budapest Hotel,8.1,179,2014,Adult,Comedy
179,Gone Girl,8.1,180,2014,Adult,Drama
180,Hacksaw Ridge,8.1,181,2016,Adult,Biography
181,Inside Out,8.1,182,0,Young,Animation
182,12 Years a Slave,8.1,183,2013,Adult,Biography
183,Rush,8.1,184,0,Adult,Biography
184,Ford v Ferrari,8.1,185,2019,Young,Action
185,Spotlight,8.1,186,0,Adult,Biography
186,The Help,8.1,187,2011,Young,Drama
187,Prisoners,8.1,188,2013,Adult,Drama
188,Mad Max: Fury Road,8.1,189,2015,Adult,Action
189,Gran Torino,8.1,190,2008,Adult,Drama
190,Harry Potter and the Deathly Hallows: Part 2,8.1,191,2011,Young,Drama
191,Shutter Island,8.1,192,2010,Adult,Mystery
192,Hachi: A Dog's Tale,8.1,193,2009,,Drama
193,Mary and Max,8.1,194,2009,,Animation
194,How to Train Your Dragon,8.1,195,2010,Young,Animation
195,Into the Wild,8.1,196,2007,Adult,Biography
196,No Country for Old Men,8.1,197,2007,Adult,Drama
197,Million Dollar Baby,8.1,198,2004,Young,Drama
198,Hotel Rwanda,8.1,199,2004,Young,Biography
199,Salinui chueok,8.1,200,2003,,Action
200,Kill Bill: Vol. 1,8.1,201,2003,Adult,Action
201,Finding Nemo,8.1,202,2003,,Animation
202,Catch Me If You Can,8.1,203,2002,Young,Biography
203,Amores perros,8.1,204,2000,Adult,Drama
204,The Sixth Sense,8.1,205,1999,Young,Drama
205,The Truman Show,8.1,206,1998,Young,Comedy
206,The Big Lebowski,8.1,207,1998,Adult,Comedy
207,Fa yeung nin wah,8.1,208,2000,Young,Drama
208,Trainspotting,8.1,209,1996,Adult,Drama
209,Fargo,8.1,210,1996,Adult,Drama
210,La haine,8.1,211,1995,,Drama
211,Before Sunrise,8.1,212,1995,Adult,Drama
212,Jurassic Park,8.1,213,1993,Young,Action
213,In the Name of the Father,8.1,214,1993,Adult,Biography
214,Dead Poets Society,8.1,215,1989,,Comedy
215,The Princess Bride,8.1,216,1987,,Family
216,Stand by Me,8.1,217,1986,,Drama
217,Platoon,8.1,218,1986,Young,Drama
218,"Paris, Texas",8.1,219,1984,,Drama
219,Kaze no tani no Naushika,8.1,220,1984,Young,Animation
220,The Thing,8.1,221,1982,,Horror
221,Fanny och Alexander,8.1,222,1982,,Drama
222,Blade Runner,8.1,223,1982,Young,Action
223,The Elephant Man,8.1,224,1980,Young,Biography
224,Life of Brian,8.1,225,1979,,Comedy
225,The Deer Hunter,8.1,226,1978,,Drama
226,Rocky,8.1,227,1976,,Drama
227,Network,8.1,228,1976,Adult,Drama
228,Barry Lyndon,8.1,229,1975,,Drama
229,Cool Hand Luke,8.1,230,1967,,Drama
230,Persona,8.1,231,1966,,Drama
231,Andrei Rublev,8.1,232,1966,,Biography
232,La battaglia di Algeri,8.1,233,1966,,Drama
233,Les quatre cents coups,8.1,234,1959,,Drama
234,Ben-Hur,8.1,235,1959,,Drama
235,The Bridge on the River Kwai,8.1,236,1957,Young,Drama
236,On the Waterfront,8.1,237,1954,,Drama
237,Le salaire de la peur,8.1,238,1953,,Drama
238,The Third Man,8.1,239,1949,,Film-Noir
239,Rebecca,8.1,240,1940,,Drama
240,Mr. Smith Goes to Washington,8.1,241,1939,,Comedy
241,Gone with the Wind,8.1,242,1939,,Drama
242,It Happened One Night,8.1,243,1934,,Comedy
243,La passion de Jeanne d'Arc,8.1,244,1928,,Biography
244,The Circus,8.1,245,1928,,Comedy
245,The General,8.1,246,1926,,Action
246,Before Sunset,8.0,247,2004,Adult,Drama
247,"Monsters, Inc.",8.0,248,2001,Young,Animation
248,Aladdin,8.0,249,1992,,Animation
249,The Terminator,8.0,250,1984,,Action
